方向,站牌名稱,預估到站時間,緯度,經度,站牌ID
去程,瑞湖街口,末班已過,25.067523,121.576485,1149400220
去程,麗寶大樓,末班已過,25.070424,121.58271,1149100300
去程,公館山,末班已過,25.071952,121.581177,1149100000
去程,瑞光路,末班已過,25.074746,121.5776,1147400070
去程,內湖運動中心,末班已過,25.07724,121.5755879,1144800300
去程,港墘派出所,末班已過,25.0787,121.57642,1144800100
去程,西湖圖書館(湖光教會),末班已過,25.078723,121.5785305,1144700020
去程,湖光國宅,末班已過,25.078356,121.5815972,1147500320
去程,捷運文德站(碧湖公園),末班已過,25.078401,121.5841327,1147500220
去程,,末班已過,25.078703,121.5875658,1147500020
去程,,無資料,25.076435,121.5900771,1146000140
去程,,無資料,25.073372,121.58972,1147200240
去程,,無資料,25.071852,121.592095,1149000100
去程,,無資料,25.071037,121.5898699,1147200140
去程,,無資料,25.06916,121.58832,1146600160
去程,,無資料,25.06901,121.58556,1146600060
去程,,無資料,25.06856,121.5831298,1149401060
去程,,無資料,25.06702,121.5791,1149400360
去程,,無資料,25.062286,121.566155,1059200140
去程,,無資料,25.059661,121.5679233,1059100040
去程,,無資料,25.059272,121.5663967,1058900160
去程,,無資料,25.0575,121.5634,1058200140
去程,,無資料,25.055245,121.5635808,1058200040
去程,,無資料,25.054217,121.5621625,1058600260
去程,,無資料,25.054069,121.559764,1058600160
去程,,無資料,25.053881,121.5578743,1056400060
去程,,無資料,25.052778,121.5568095,1057900140
去程,,無資料,25.04937,121.55774,1056000040
去程,,無資料,25.048151,121.5567576,1055400060
去程,,無資料,25.04821,121.553906,1055400160
去程,,無資料,25.048248,121.551437,1055900061
去程,,無資料,25.045271,121.548797,1055700240
去程,,無資料,25.041865,121.5487541,1069000140
去程,,無資料,25.039043,121.548697,1068500140
去程,,無資料,25.034123,121.5485022,1068100141
去程,,無資料,25.033383,121.5461666,1068400060
去程,,無資料,25.033404,121.5438266,1068400260
去程,,無資料,25.033382,121.542275,1065800360
去程,,無資料,25.033595,121.538468,1065800160
去程,,無資料,25.03355,121.5359159,1065600460
去程,,無資料,25.033627,121.5331327,1065600360
去程,,無資料,25.033765,121.5301447,1065100260
去程,,無資料,25.034232,121.526986,1005700060
去程,,無資料,25.035417,121.5246296,1004800860
去程,,無資料,25.03739,121.52056,1004800960
去程,,無資料,25.041927,121.5163535,1004801100
去程,,無資料,25.044177,121.5150573,1004700200
去程,,無資料,25.046563,121.5156894,1004100720
返程,臺北車站(公園),末班已過,25.043929,121.516775,1004700340
返程,捷運台大醫院站,末班已過,25.041935,121.5161481,1004600040
返程,中正紀念堂,末班已過,25.037153,121.520771,1004800920
返程,信義杭州路口,末班已過,25.0357,121.5238361,1004800820
返程,捷運東門站,末班已過,25.034134,121.5269937,1064100120
返程,信義永康街口(捷運東門站),末班已過,25.033693,121.529727,1065000320
返程,信義新生路口,末班已過,25.03353,121.5323283,1006100020
返程,捷運大安森林公園站,末班已過,25.033496,121.5356316,1065600420
返程,信義建國路口,末班已過,25.033441,121.539045,1065800120
返程,,末班已過,25.033323,121.5432319,1065800420
返程,,無資料,25.0332,121.5456,1068300220
返程,,無資料,25.033262,121.548298,1068100120
返程,,無資料,25.035951,121.5490897,1068900100
返程,,無資料,25.039761,121.5489579,1068900400
返程,,無資料,25.043012,121.549174,1069000200
返程,,無資料,25.045757,121.5491941,1055700000
返程,,無資料,25.04807,121.5511,1055900020
返程,,無資料,25.048,121.55415,1055400120
返程,,無資料,25.048703,121.557946,1056000100
返程,,無資料,25.052989,121.556952,1057900100
返程,,無資料,25.05367,121.55726,1058600020
返程,,無資料,25.05381,121.55985,1058600120
返程,,無資料,25.053978,121.5626621,1058600220
返程,,無資料,25.054814,121.5638473,1058200000
返程,,無資料,25.05753,121.56368,1058200100
返程,,無資料,25.05902,121.5664423,1058900120
返程,,無資料,25.060189,121.5676949,1059400200
返程,,無資料,25.062445,121.566269,1059200100
返程,,無資料,25.066876,121.5794778,1149400320
返程,,無資料,25.068084,121.5821211,1149401020
返程,,無資料,25.068803,121.5854057,1146600020
返程,,無資料,25.068934,121.5889192,1146600120
返程,,無資料,25.07121,121.5900311,1147200100
返程,,無資料,25.071852,121.592095,1149000200
返程,,無資料,25.073809,121.5900167,1147200200
返程,,無資料,25.076884,121.5902313,1146200000
返程,,無資料,25.079013,121.5883097,1147500060
返程,,無資料,25.078585,121.584249,1147500260
返程,,無資料,25.07859,121.58078,1147300060
返程,,無資料,25.07889,121.578499,1144700061
返程,,無資料,25.078636,121.57619,1144800240
返程,,無資料,25.074821,121.577343,1149100230
返程,,無資料,25.071988,121.5809507,1149100040
返程,,無資料,25.070391,121.582671,1149100340
返程,,無資料,25.067659,121.576798,1149400261
