站牌名稱,緯度,經度,站牌ID
故宮博物院,25.099966,121.549251,1114302160
外雙溪(至善),25.0989,121.5477083,1114300860
故宮路口,25.098068,121.5459327,1114302460
東吳大學,25.094566,121.545748,1110200020
東吳大學(錢穆故居),25.097411,121.541307,1114100160
梅林新村,25.097585,121.539849,1114100560
雙溪公園,25.098494,121.537493,1114100860
泰北中學,25.097751,121.5340302,1114500560
士林官邸(中正),25.0965,121.53144,1114500160
福林國小,25.0962,121.52976,1114500860
捷運士林站(中正),25.095583,121.526622,1116300860
士林國中,25.094772,121.522929,1116200261
士林區行政中心(中正),25.09406,121.52085,1116200860
陽明高中,25.092141,121.517889,1116500860
葫東重慶路口,25.08432,121.51151,1116400340
士林簡易庭,25.08192,121.51261,1116500240
啟聰學校,25.07451,121.5136892,1037100140
酒泉重慶路口,25.07328,121.51367,1037200140
民族重慶路口,25.068879,121.51371,1036900040
昌吉重慶路口,25.06615,121.5136438,1036300240
捷運大橋頭站,25.063324,121.5135163,1035900040
涼州重慶路口,25.06098,121.5135093,1035800340
民生重慶路口,25.05715,121.5136927,1035800140
朝陽公園(鈕釦街),25.055504,121.514022,1034500042
圓環(重慶),25.053017,121.5140239,1035000340
後車站,25.050503,121.5134928,1034900140
臺北車站(重慶),25.046565,121.5132058,1004400240
重慶南路一段,25.044432,121.513114,1000500042
二二八和平公園,25.042368,121.5125439,1004500060
衡陽路,25.0423,121.51088,1004300160
臺北市憲兵隊,25.040727,121.5091239,1004200540
東吳大學城中校區,25.039053,121.5091008,1004800720
小南門(和平院區),25.036841,121.508728,1004200161
捷運西門站,25.04173,121.5082859,1084600300
中華路北站,25.045696,121.5093807,1004200200
捷運北門站,25.04925,121.5103325,1034100100
後車站,25.050269,121.5135627,1034900100
圓環(重慶),25.052844,121.514207,1035000300
民生重慶路口,25.056766,121.5138258,1035600000
涼州重慶路口,25.060669,121.5135455,1035800300
捷運大橋頭站,25.062704,121.513583,1035900000
昌吉重慶路口,25.065794,121.5137575,1036300200
民族重慶路口,25.068308,121.5137993,1036900000
酒泉重慶路口,25.071809,121.5138317,1036900200
啟聰學校,25.074282,121.5140862,1037100100
士林簡易庭,25.081598,121.5132091,1116400000
葫東重慶路口,25.08435,121.51196,1116400300
陽明高中,25.09192,121.51817,1116301120
士林區行政中心(中正),25.092849,121.519562,1116300220
士林國中,25.094604,121.5233015,1116200220
捷運士林站(中正),25.09522,121.52577,1116300821
福林國小,25.09592,121.52906,1114303520
士林官邸(中正),25.096324,121.531395,1114500120
泰北中學,25.097284,121.5334818,1114100220
雙溪公園,25.097779,121.53792,1114100820
梅林新村,25.097232,121.5401759,1114302620
東吳大學(錢穆故居),25.097131,121.541888,1114100120
東吳大學,25.094566,121.545748,1110200020
外雙溪(至善),25.098239,121.5470058,1114300820
故宮博物院,25.099966,121.549251,1114302160
