公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,21,承德路七段,1126200540,25.112706,121.508727
5分鐘,22,石牌,1128700240,25.109536,121.512347
6分鐘,23,文林國小,1128700140,25.108034,121.5139733
6分鐘,24,中正高中,1128700040,25.105059,121.517803
8分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
3分鐘,28,小北街,1116300541,25.090999,121.526725
7分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
10分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
3分鐘,32,明倫高中,1036700240,25.07344,121.5191524
6分鐘,33,庫倫街口,1036600040,25.071066,121.5183341
9分鐘,34,民族承德路口,1036500040,25.067913,121.5182673
9分鐘,35,大同國小,1036300040,25.064874,121.5181
12分鐘,36,成淵高中,1036000040,25.062226,121.518152
4分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
4分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
5分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
7分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
8分鐘,44,捷運南京復興站,1055000120,25.051804,121.5435614
10分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
12分鐘,46,南京寧安街口,1058000020,25.051548,121.5547373
7分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
9分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
5分鐘,53,世貿中心(莊敬),1104900140,25.031446,121.56127
7分鐘,54,景新里,1104900440,25.02923,121.5624103
8分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
9分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
11分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
12分鐘,58,松仁路,1104600240,25.024432,121.569585
13分鐘,59,松仁路,1104600200,25.02453,121.5695997
15分鐘,60,吳興國小(松仁),1104600000,25.026234,121.568628
17分鐘,61,信義國中(松仁),1105900000,25.02881,121.568464
18分鐘,62,松平路口,1105800300,25.03124,121.56839
3分鐘,64,松壽路口,1105100460,25.035881,121.5666401
4分鐘,65,市政府(松壽),1105100360,25.035907,121.5646562
3分鐘,66,市政府(市府),1100800100,25.038366,121.5636251
6分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
